"","ISS","n","cumulative percentage","sampling cutoffs"
"1","0",322,0.0650505050505051,-5.81579503670493
"2","1",1852,0.439191919191919,3.99417591375414
"3","2",653,0.571111111111111,6.3893570868403
"4","3",87,0.588686868686869,6.71353397060601
"5","4",519,0.693535353535354,8.74467551854243
"6","5",235,0.741010101010101,9.75809812231538
"7","6",71,0.755353535353535,10.0823219335124
"8","8",39,0.763232323232323,10.2647590564884
"9","9",399,0.843838383838384,12.3816397942684
"10","10",190,0.882222222222222,13.6491549817782
"11","11",42,0.890707070707071,13.9673001062736
"12","12",12,0.893131313131313,14.0614354369406
"13","13",39,0.901010101010101,14.3784726956745
"14","14",55,0.912121212121212,14.8586669100159
"15","16",50,0.922222222222222,15.3362692576536
"16","17",73,0.936969696969697,16.1267542946827
"17","18",21,0.941212121212121,16.380587340322
"18","19",14,0.944040404040404,16.5579086805603
"19","20",33,0.950707070707071,17.0057867730958
"20","21",36,0.957979797979798,17.5534312984647
"21","22",22,0.962424242424242,17.9271002104226
"22","24",12,0.964848484848485,18.1463779679875
"23","25",28,0.970505050505051,18.7109985545136
"24","26",24,0.975353535353535,19.2717638792256
"25","27",11,0.977575757575758,19.5603171208215
"26","29",31,0.983838383838384,20.5286906889622
"27","30",6,0.985050505050505,20.7524441446808
"28","32",8,0.986666666666667,21.0764199172086
"29","33",6,0.987878787878788,21.3424718491896
"30","34",17,0.991313131313131,22.246814185696
"31","35",2,0.991717171717172,22.3730333530542
"32","36",7,0.993131313131313,22.8622012637095
"33","38",2,0.993535353535353,23.0183073579038
"34","41",8,0.995151515151515,23.744607446924
"35","42",1,0.995353535353535,23.8501093181462
"36","43",5,0.996363636363636,24.4485454046535
"37","45",10,0.998383838383838,26.3276716495193
"38","48",1,0.998585858585859,26.6238119129298
"39","50",5,0.99959595959596,29.2495548627243
"40","57",2,1,Inf
