"","Age","n","cumulative.percentage","sampling.cutoffs"
"1",16,79,0.0167372881355932,1.37447154065164
"2",17,106,0.0391949152542373,9.19251554590421
"3",18,127,0.0661016949152542,14.628204263473
"4",19,117,0.0908898305084746,18.2608875315711
"5",20,105,0.113135593220339,20.935123760762
"6",21,126,0.139830508474576,23.6875652204844
"7",22,114,0.163983050847458,25.8833527365627
"8",23,103,0.185805084745763,27.6926593671037
"9",24,91,0.205084745762712,29.1840777890141
"10",25,91,0.224364406779661,30.5942388305464
"11",26,86,0.242584745762712,31.8648823722693
"12",27,83,0.260169491525424,33.0430018894956
"13",28,53,0.271398305084746,33.7737802279578
"14",29,72,0.286652542372881,34.742902235508
"15",30,74,0.302330508474576,35.7137829940321
"16",31,63,0.315677966101695,36.5226196833361
"17",32,62,0.328813559322034,37.3045037282384
"18",33,59,0.341313559322034,38.0369320372364
"19",34,52,0.352330508474576,38.674022176645
"20",35,48,0.3625,39.255762740957
"21",36,62,0.375635593220339,39.9990753349379
"22",37,66,0.389618644067797,40.7814491061742
"23",38,54,0.401059322033898,41.4156000867959
"24",39,52,0.412076271186441,42.0218267458573
"25",40,63,0.425423728813559,42.7512493963726
"26",41,86,0.44364406779661,43.7396246759617
"27",42,74,0.459322033898305,44.5848459535048
"28",43,77,0.475635593220339,45.4607363402659
"29",44,77,0.491949152542373,46.3344350526582
"30",45,72,0.507203389830508,47.1507188147959
"31",46,64,0.520762711864407,47.8767408357174
"32",47,60,0.533474576271186,48.558540489799
"33",48,70,0.548305084745763,49.3563423356752
"34",49,67,0.5625,50.1233435478851
"35",50,69,0.577118644067797,50.9178099088579
"36",51,76,0.593220338983051,51.7996293155731
"37",52,69,0.607838983050847,52.6076996476814
"38",53,73,0.623305084745763,53.4718564559268
"39",54,72,0.638559322033898,54.3350767814294
"40",55,82,0.65593220338983,55.3335958642978
"41",56,66,0.669915254237288,56.1510243327044
"42",57,54,0.68135593220339,56.8301671408996
"43",58,62,0.694491525423729,57.6227451452054
"44",59,56,0.70635593220339,58.3516910579851
"45",60,67,0.720550847457627,59.242039348383
"46",61,58,0.732838983050847,60.0306621844206
"47",62,67,0.747033898305085,60.9648649369277
"48",63,53,0.758262711864407,61.7235359385982
"49",64,47,0.768220338983051,62.4124720727997
"50",65,54,0.779661016949153,63.2247272231381
"51",66,49,0.790042372881356,63.9829551807429
"52",67,51,0.800847457627119,64.7959261660244
"53",68,52,0.811864406779661,65.6526925853514
"54",69,50,0.822457627118644,66.5062241968358
"55",70,41,0.83114406779661,67.2304065512617
"56",71,54,0.842584745762712,68.2217907490237
"57",72,47,0.852542372881356,69.1239507252986
"58",73,43,0.861652542372881,69.9858133515153
"59",74,39,0.869915254237288,70.8016193423387
"60",75,46,0.879661016949153,71.8113960575037
"61",76,41,0.888347457627119,72.7611750647329
"62",77,41,0.897033898305085,73.7654086213602
"63",78,35,0.904449152542373,74.6725808695002
"64",79,41,0.913135593220339,75.803807252832
"65",80,30,0.919491525423729,76.6862847507959
"66",81,43,0.928601694915254,78.0481348725686
"67",82,36,0.936228813559322,79.2949940802588
"68",83,37,0.944067796610169,80.7039600684916
"69",84,31,0.950635593220339,82.0099421864152
"70",85,22,0.955296610169492,83.0236507021526
"71",86,39,0.963559322033898,85.0524067846548
"72",87,23,0.96843220338983,86.4327469010674
"73",88,35,0.975847457627119,88.9183588070977
"74",89,15,0.979025423728814,90.185286643651
"75",90,21,0.983474576271186,92.2653426268276
"76",91,12,0.986016949152542,93.6805647791875
"77",92,17,0.989618644067797,96.1249979989126
"78",93,13,0.992372881355932,98.558847386489
"79",94,8,0.99406779661017,100.477196974141
"80",95,14,0.997033898305085,105.501258346328
"81",96.5,7,0.998516949152542,110.191674311514
"83",99,7,1,Inf
